1036	1514	365	316	1152	
1973	336	712	41	243	
1252	752	1076	214	1561	
965	1664	490	1855	1356	
1591	693	580	185	736	
714	456	1159	372	1799	
1178	1667	803	40	862	
652	1102	1599	699	521	
668	1631	376	340	223	
1831	160	1099	1669	1394	
1071	719	525	1199	1004	
1527	693	1404	295	783	
267	664	1358	1554	1918	
994	1601	1354	1663	1849	
1768	117	783	351	1801	
211	625	384	124	1956	
1466	599	1809	565	546	
1933	1965	819	1829	1526	
695	77	1301	1601	307	
1045	1388	137	770	75	
1976	743	714	1643	713	
1380	1492	249	343	614	
1862	676	1726	496	476	
1885	223	1824	61	1063	
297	1302	452	14	171	
787	81	502	1138	1348	
151	15	1569	731	22	
571	1547	398	1972	705	
184	17	1529	1002	1041	
538	1865	1568	567	1176	
305	1921	1193	1954	875	
586	192	818	1557	797	
1728	704	1311	1489	341	
43	1135	55	1860	916	
1666	704	1269	268	786	
1219	913	1368	1167	1829	
1527	1684	724	1193	1812	
482	156	800	353	1465	
591	260	349	425	1404	
830	981	659	158	1081	
1025	755	1522	197	78	
191	344	1907	804	1059	
167	1449	59	913	1384	
1128	567	527	1139	481	
45	665	762	1708	1110	
1750	579	341	401	996	
43	1697	1034	351	811	
1197	423	832	1713	1441	
582	1059	377	1116	1178	
1018	449	538	718	1677	
347	752	1558	646	887	
768	1510	1396	1240	51	
1552	1602	902	1080	1806	
1843	1230	300	847	1749	
806	1226	177	615	1928	
634	1529	356	1744	279	
732	656	48	1522	386	
459	1066	1526	1314	587	
246	996	1458	1425	1470	
1622	318	764	1250	1366	
254	674	306	489	274	
328	533	1058	1928	155	
429	346	1761	383	796	
1435	61	1589	54	499	
1390	494	1565	1239	1573	
660	967	1566	110	1745	
1764	1254	674	1176	939	
1363	1776	182	411	292	
378	1318	856	1576	127	
1419	1205	1842	1924	1136	
1684	410	1213	1438	1855	
1953	263	1647	239	249	
1417	1775	1868	1312	1528	
47	1974	1948	37	420	
855	682	1088	602	1852	
172	1576	651	927	1064	
1779	787	1548	928	1040	
895	702	66	1720	396	
879	1491	36	1102	930	
1625	1879	1319	1406	1991	
426	175	1865	441	185	
1963	58	75	252	1224	
719	168	1893	1411	1181	
1929	1106	1312	674	457	
938	853	1022	1415	538	
365	88	1817	1053	1027	
1800	377	282	786	1985	
1292	1974	424	1665	1929	
1217	837	29	1536	71	
731	103	644	337	421	
1208	151	1859	902	1030	
1106	1228	709	613	1872	
1559	1124	751	1250	1254	
1054	614	1513	1283	630	
1466	905	297	1844	1813	
1141	1541	1232	1428	510	
606	804	1900	1371	155	
128	544	1960	1582	653	
1919	1525	116	1301	661	
1365	246	1879	188	1337	
1395	329	860	168	1756	
1438	242	794	1142	1550	
670	1751	1500	1415	26	
1894	911	1431	863	1076	
1495	1531	667	593	41	
1603	371	1167	1533	116	
1049	315	491	488	1417	
413	1703	18	1240	1645	
895	1776	1598	1726	857	
1854	1441	1728	1795	1191	
392	1791	728	1836	1993	
559	1002	1822	1412	55	
280	1826	1274	104	1307	
240	1367	1473	1566	1782	
1613	147	1603	1095	611	
51	810	1379	497	1972	
1122	1323	1695	868	1209	
267	192	1736	1618	1465	
378	786	1962	1469	778	
512	1306	1488	1898	636	
1636	111	1118	975	71	
1983	162	1520	1198	496	
1260	11	565	1139	175	
1312	105	622	565	368	
1670	685	638	1220	1628	
528	1815	746	1337	1289	
1079	601	1178	1988	22	
466	1059	1287	638	447	
1846	761	1240	1669	1004	
685	837	1063	821	317	
443	1982	598	1805	1927	
1448	430	1591	506	1895	
1739	38	1206	1433	504	
1238	787	123	1990	1668	
120	440	1697	727	129	
221	398	207	453	1576	
1268	474	587	275	1009	
838	814	643	811	1164	
1946	1719	1181	341	866	
1932	1561	460	1242	552	
1525	377	884	1113	296	
30	501	1924	1240	1085	
706	1608	1535	354	780	
1950	412	1196	1862	1157	
344	1293	1120	597	627	
1776	532	1909	1542	1752	
350	1302	1692	95	793	
1152	591	189	745	1433	
1037	1616	1921	1591	1658	
868	1724	1784	1614	1946	
1409	1457	1281	1979	1612	
858	348	1003	1780	1481	
863	1972	1132	1368	26	
1306	956	809	1198	1045	
900	1885	1011	524	1705	
976	700	1370	905	1433	
788	1073	1293	872	1237	
1265	1857	329	341	419	
1045	555	1323	1156	1100	
1796	108	673	925	401	
64	1014	908	1800	463	
1349	291	744	110	1605	
335	1724	222	1145	902	
1217	1937	228	1456	959	
1350	332	1912	581	731	
201	1481	1339	1173	1761	
1791	196	769	1123	1466	
1930	1656	1182	1435	1602	
376	228	711	1882	299	
1933	925	769	425	219	
17	876	230	417	1276	
648	1266	1823	32	1636	
1331	1025	827	461	451	
565	357	1189	700	1883	
1476	867	1637	1176	1593	
1583	1268	1818	1614	428	
480	736	1871	1691	694	
447	1406	1783	1873	1741	
85	1528	571	882	961	
1025	640	1611	930	232	
159	82	555	1131	926	
553	288	426	44	1747	
1800	349	1326	188	351	
